index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
9.500000000000000000e+01,8.813803470282824128e+04,8.813803470282825583e+04,-1.455191522836685181e-11,3.000577596409020696e-12,3.621540663293999597e-12,6.622118259703020294e-12,1.000000000000000000e+00
9.600000000000000000e+01,9.001325953903520713e+04,9.001325953903523623e+04,-2.910383045673370361e-11,3.000288476983177898e-12,3.128918311321399656e-11,3.428947159019717689e-11,1.000000000000000000e+00
9.700000000000000000e+01,9.190822358404437546e+04,9.190822358404439001e+04,-1.455191522836685181e-11,3.000417307400911268e-12,2.507007046860599716e-11,2.807048777600690923e-11,1.000000000000000000e+00
9.800000000000000000e+01,9.382292683785571717e+04,9.382292683785571717e+04,0.000000000000000000e+00,3.000406821204118980e-12,1.871459261234999155e-11,2.171499943355410891e-11,1.000000000000000000e+00
9.900000000000000000e+01,9.575736930046923226e+04,9.575736930046921771e+04,1.455191522836685181e-11,3.000561118099775787e-12,2.495518009344199897e-11,2.795574121154177395e-11,1.000000000000000000e+00
1.000000000000000000e+02,9.771155097188493528e+04,9.771155097188490618e+04,2.910383045673370361e-11,3.000600066830717419e-12,3.193826004582601158e-11,3.493886011265673143e-11,1.000000000000000000e+00
1.010000000000000000e+02,9.968547185210278258e+04,9.968547185210279713e+04,-1.455191522836685181e-11,3.000532655565624827e-12,3.163052904449999854e-12,6.163585560015624681e-12,1.000000000000000000e+00
1.020000000000000000e+02,1.016791319411228469e+05,1.016791319411228324e+05,1.455191522836685181e-11,3.000671972180149678e-12,1.005915976909000051e-11,1.305983174127015018e-11,1.000000000000000000e+00
1.030000000000000000e+02,1.036925312389450555e+05,1.036925312389450410e+05,1.455191522836685181e-11,3.000421801485250936e-12,1.709216871629000134e-11,2.009259051777525308e-11,1.000000000000000000e+00
1.040000000000000000e+02,1.057256697455694812e+05,1.057256697455694957e+05,-1.455191522836685181e-11,3.000402327119778504e-12,1.470685125427000002e-11,1.770725358138977772e-11,1.000000000000000000e+00
1.050000000000000000e+02,1.077785474609960802e+05,1.077785474609960802e+05,0.000000000000000000e+00,3.000631525421094285e-12,7.759741652989999780e-12,1.076037317841109406e-11,1.000000000000000000e+00
1.060000000000000000e+02,1.098511643852248235e+05,1.098511643852248235e+05,0.000000000000000000e+00,3.000495204862796148e-12,1.321585676290000033e-12,4.322080881152796585e-12,1.000000000000000000e+00
1.070000000000000000e+02,1.119435205182557547e+05,1.119435205182557547e+05,0.000000000000000000e+00,3.000631525421094285e-12,8.538204475393998352e-12,1.153883600081509264e-11,1.000000000000000000e+00
1.080000000000000000e+02,1.140556158600889175e+05,1.140556158600889175e+05,0.000000000000000000e+00,3.000414311344685362e-12,2.450367165644599322e-11,2.750408596779067777e-11,1.000000000000000000e+00
1.090000000000000000e+02,1.161874504107241955e+05,1.161874504107242101e+05,-1.455191522836685181e-11,3.000818778935240103e-12,1.737241533234999869e-11,2.037323411128523718e-11,1.000000000000000000e+00
1.100000000000000000e+02,1.183390241701616760e+05,1.183390241701616760e+05,0.000000000000000000e+00,3.000887688228447264e-12,1.010640440934199684e-11,1.310729209757044410e-11,1.000000000000000000e+00
1.110000000000000000e+02,1.205103371384013299e+05,1.205103371384013299e+05,0.000000000000000000e+00,3.000621039224301996e-12,2.705102016510000161e-12,5.705723055734302157e-12,1.000000000000000000e+00
1.120000000000000000e+02,1.227013893154432008e+05,1.227013893154431862e+05,1.455191522836685181e-11,3.000352892192045391e-12,6.832028717058001035e-12,9.832381609250045618e-12,1.000000000000000000e+00
1.130000000000000000e+02,1.249121807012871868e+05,1.249121807012872159e+05,-2.910383045673370361e-11,3.000766347951279468e-12,2.767496813363000208e-11,3.067573448158127993e-11,1.000000000000000000e+00
1.140000000000000000e+02,1.271427112959333754e+05,1.271427112959333899e+05,-1.455191522836685181e-11,3.000528161481285968e-12,2.022427361689400147e-11,2.322480177837528663e-11,1.000000000000000000e+00
1.150000000000000000e+02,1.293929810993817810e+05,1.293929810993817518e+05,2.910383045673370361e-11,3.000315441489215096e-12,3.025624347853000408e-11,3.325655892001921595e-11,1.000000000000000000e+00
